Batch	m_SP	4	Pr1	W1	Pr2	Pr3					
8.852489e+17	9.894361055400002e-06	0.1	8.852489e+17	1.048563e-07	0.1	8.852489e+17	2.451707e-16	0.1	8.852489e+17	3.551777e-25	0.1
1.759504e+18	9.79123608666e-06	0.1	1.759504e+18	2.079905e-07	0.1	1.759504e+18	4.851946e-16	0.1	1.759504e+18	7.022917e-25	0.1
3.508014e+18	9.58819911705e-06	0.1	3.508014e+18	4.110453e-07	0.1	3.508014e+18	9.577634e-16	0.1	3.508014e+18	1.385704e-24	0.1
6.505461e+18	9.249883500240001e-06	0.1	6.505461e+18	7.493913e-07	0.1	6.505461e+18	1.745196e-15	0.1	6.505461e+18	2.52446e-24	0.1
1.15012e+19	8.712342875700001e-06	0.1	1.15012e+19	1.28698e-06	0.1	1.15012e+19	2.996325e-15	0.1	1.15012e+19	4.333799e-24	0.1
2.055044e+19	7.81693382988e-06	0.1	2.055044e+19	2.182469e-06	0.1	2.055044e+19	5.080395e-15	0.1	2.055044e+19	7.347706e-24	0.1
3.399482e+19	6.65368946244e-06	0.1	3.399482e+19	3.345817e-06	0.1	3.399482e+19	7.787852e-15	0.1	3.399482e+19	1.126313e-23	0.1
4.853799e+19	5.5894591048500004e-06	0.1	4.853799e+19	4.410142e-06	0.1	4.853799e+19	1.026485e-14	0.1	4.853799e+19	1.484529e-23	0.1
6.773967e+19	4.44048959466e-06	0.1	6.773967e+19	5.559214e-06	0.1	6.773967e+19	1.293909e-14	0.1	6.773967e+19	1.871266e-23	0.1
9.004704e+19	3.39881801148e-06	0.1	9.004704e+19	6.600979e-06	0.1	9.004704e+19	1.536358e-14	0.1	9.004704e+19	2.221889e-23	0.1
1.123544e+20	2.6015059846800003e-06	0.1	1.123544e+20	7.398362e-06	0.1	1.123544e+20	1.721933e-14	0.1	1.123544e+20	2.49026e-23	0.1
1.346618e+20	1.9912320874799997e-06	0.1	1.346618e+20	8.008691e-06	0.1	1.346618e+20	1.863975e-14	0.1	1.346618e+20	2.695676e-23	0.1
1.569691e+20	1.52411875866e-06	0.1	1.569691e+20	8.475845e-06	0.1	1.569691e+20	1.972695e-14	0.1	1.569691e+20	2.852904e-23	0.1
1.792765e+20	1.16658333405e-06	0.1	1.792765e+20	8.833413e-06	0.1	1.792765e+20	2.055912e-14	0.1	1.792765e+20	2.973249e-23	0.1
2.015839e+20	8.929203707070001e-07	0.1	2.015839e+20	9.1071e-06	0.1	2.015839e+20	2.119607e-14	0.1	2.015839e+20	3.065362e-23	0.1
2.238912e+20	6.834546653850001e-07	0.1	2.238912e+20	9.316584e-06	0.1	2.238912e+20	2.16836e-14	0.1	2.238912e+20	3.135868e-23	0.1
2.461986e+20	5.23126468683e-07	0.1	2.461986e+20	9.476927e-06	0.1	2.461986e+20	2.205677e-14	0.1	2.461986e+20	3.189833e-23	0.1
2.712486e+20	3.8746212534e-07	0.1	2.712486e+20	9.612603e-06	0.1	2.712486e+20	2.237253e-14	0.1	2.712486e+20	3.235497e-23	0.1
2.981269e+20	2.8076019237e-07	0.1	2.981269e+20	9.719315e-06	0.1	2.981269e+20	2.262088e-14	0.1	2.981269e+20	3.271413e-23	0.1
3.250053e+20	2.03442565554e-07	0.1	3.250053e+20	9.796639e-06	0.1	3.250053e+20	2.280084e-14	0.1	3.250053e+20	3.297438e-23	0.1
3.518837e+20	1.4741712581400002e-07	0.1	3.518837e+20	9.85267e-06	0.1	3.518837e+20	2.293124e-14	0.1	3.518837e+20	3.316295e-23	0.1
